FECHA,IVA
2020-05-01,182.26
2020-05-01,11.06
2020-05-01,160.0
2020-05-01,15.69
2020-05-01,2.57
2020-05-01,0.0
2020-05-01,38.57
2020-05-01,489.74
2020-05-01,54.58
2020-05-01,-285.53
2020-05-01,-162.56
2020-05-01,11.86
2020-05-01,101.2
2020-05-01,54.72
2020-05-01,68.28
2020-05-01,37.86
2020-05-01,385.76
2020-05-01,745.71
2020-05-01,-161.46
2020-05-01,162.56
2020-05-01,771.99
2020-05-01,176.0
2020-05-01,144.0
2020-05-01,640.0
2020-05-01,34.92
2020-05-01,28.8
2020-05-01,433.17
2020-05-01,231.82
2020-05-01,39.15
2020-05-01,62.09
2020-05-01,376.72
2020-05-01,0.0
2020-05-01,10.91
2020-05-01,96.0
2020-05-01,0.0
2020-05-01,0.0
2020-05-01,23.96
2020-05-01,496.0
2020-05-01,256.0
2020-05-01,324.01
2020-05-01,415.48
2020-05-01,32.16
2020-05-01,131.2
2020-05-01,142.68
2020-05-01,560.0
2020-05-01,164.0
2020-05-01,1.1
2020-05-01,1030.2
2020-05-01,275.72
2020-05-01,0.0
2020-05-01,55.92
2020-05-01,1.84
2020-05-01,538.28
2020-05-01,305.94
2020-05-01,44.69
2020-05-01,3.03
2020-05-01,42.12
2020-05-01,176.0
2020-05-01,0.0
2020-05-01,12.98
2020-05-01,62.09
2020-05-01,149.76
2020-05-01,299.23
2020-05-01,356.32
2020-05-01,7.16
2020-05-01,57.79
2020-05-01,18.24
2020-05-01,613.63
2020-05-01,144.08
2020-05-01,473.76
2020-05-01,124.96
2020-05-01,28.28
2020-05-01,48.0
2020-05-01,218.33
2020-05-01,20.15
2020-05-01,41.79
2020-05-01,84.78
2020-05-01,538.28
2020-05-01,8.83
2020-05-01,0.0
2020-05-01,0.0
2020-05-01,89.5
2020-05-01,30.29
2020-05-01,12.77
2020-05-01,100.48
2020-05-01,13.91
2020-05-01,15.22
2020-05-01,275.86
2020-05-01,622.08
2020-05-01,12.68
2020-05-01,646.2
2020-05-01,26.5
2020-05-01,186.21
2020-05-01,262.07
2020-05-01,78.4
2020-06-01,192.0
2020-06-01,0.0
2020-06-01,0.0
2020-06-01,0.0
2020-06-01,149.82
2020-06-01,16.0
2020-06-01,41.77
2020-06-01,137.76
2020-06-01,48.0
2020-06-01,560.0
2020-06-01,200.0
2020-06-01,28.8
2020-06-01,6.0
2020-06-01,864.0
2020-06-01,46.63
2020-06-01,46.63
2020-06-01,0.0
2020-06-01,2.5
2020-06-01,633.6
2020-06-01,470.4
2020-06-01,717.6
2020-06-01,496.89
2020-06-01,0.0
2020-06-01,253.93
2020-06-01,19.5
2020-06-01,75.96
2020-06-01,67.17
2020-06-01,9.19
2020-06-01,0.0
2020-06-01,0.0
2020-06-01,274.7
2020-06-01,382.03
2020-06-01,85.46
2020-06-01,39.43
2020-06-01,146.57
2020-06-01,413.6
2020-06-01,96.0
2020-06-01,0.0
2020-06-01,0.0
2020-06-01,48.0
2020-06-01,739.2
2020-06-01,38.06
2020-06-01,5.88
2020-06-01,202.56
2020-06-01,182.26
2020-06-01,448.0
2020-06-01,723.14
2020-06-01,131.04
2020-06-01,16.14
2020-06-01,258.54
2020-06-01,507.16
2020-06-01,320.0
2020-06-01,313.6
2020-06-01,239.19
2020-06-01,1.91
2020-06-01,2.73
2020-06-01,339.81
2020-06-01,272.86
2020-06-01,56.0
2020-06-01,39.74
2020-06-01,596.29
2020-06-01,177.6
2020-06-01,862.4
2020-06-01,96.0
2020-06-01,2.28
2020-06-01,155.54
2020-06-01,262.0
2020-06-01,0.0
2020-06-01,0.0
2020-06-01,48.0
2020-06-01,624.13
2020-06-01,646.02
2020-06-01,404.1
2020-06-01,156.8
2020-06-01,640.0
2020-06-01,4.78
2020-06-01,281.25
2020-06-01,529.12
2020-06-01,113.16
2020-06-01,590.93
2020-06-01,451.2
2020-06-01,0.0
2020-06-01,459.2
2020-06-01,216.0
2020-06-01,2.1
2020-06-01,223.1
2020-06-01,438.19
2020-06-01,736.44
2020-06-01,663.68
2020-06-01,120.33
2020-06-01,234.88
2020-06-01,1042.76
2020-06-01,37.99
2020-06-01,30.09
2020-06-01,979.2
2020-06-01,70.34
2020-06-01,303.45
2020-06-01,0.0
2020-06-01,62.56
2020-06-01,31.32
2020-06-01,364.8
2020-06-01,605.95
2020-06-01,35.21
2020-06-01,68.64
2020-06-01,48.0
2020-06-01,176.0
2020-06-01,456.0
2020-06-01,44.63
2020-06-01,62.09
2020-06-01,380.16
2020-06-01,20.25
2020-06-01,28.8
2020-06-01,83.2
2020-06-01,42.76
2020-06-01,42.76
2020-06-01,36.84
2020-06-01,789.6
2020-06-01,543.2
2020-06-01,11.63
2020-06-01,13.54
2020-06-01,49.04
2020-06-01,826.96
2020-06-01,960.0
2020-06-01,35.2
2020-06-01,200.53
2020-06-01,17.68
2020-06-01,225.34
2020-06-01,12.77
2020-06-01,236.95
2020-06-01,170.96
2020-06-01,62.4
2020-06-01,11.04
2020-06-01,240.0
2020-06-01,345.41
2020-06-01,160.0
2020-06-01,1.53
2020-06-01,683.03
2020-06-01,258.06
2020-06-01,324.14
2020-06-01,0.0
2020-06-01,864.0
2020-06-01,864.0
2020-06-01,48.0
2020-06-01,40.39
2020-06-01,30.34
2020-06-01,313.6
2020-06-01,646.2
2020-06-01,149.4
2020-06-01,240.0
2020-06-01,278.89
2020-06-01,68.48
2020-06-01,26.18
2020-06-01,8.21
2020-06-01,3.03
2020-07-01,64.0
2020-07-01,116.48
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,726.24
2020-07-01,669.96
2020-07-01,237.32
2020-07-01,43.83
2020-07-01,0.0
2020-07-01,32.48
2020-07-01,19.72
2020-07-01,3.03
2020-07-01,26.41
2020-07-01,0.0
2020-07-01,768.11
2020-07-01,475.2
2020-07-01,53.76
2020-07-01,89.86
2020-07-01,11.03
2020-07-01,78.4
2020-07-01,16.8
2020-07-01,899.84
2020-07-01,29.02
2020-07-01,325.59
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,1001.6
2020-07-01,413.6
2020-07-01,147.2
2020-07-01,48.04
2020-07-01,0.0
2020-07-01,61.87
2020-07-01,75.73
2020-07-01,569.4
2020-07-01,765.76
2020-07-01,765.76
2020-07-01,162.11
2020-07-01,0.0
2020-07-01,800.0
2020-07-01,312.0
2020-07-01,0.0
2020-07-01,0.64
2020-07-01,249.6
2020-07-01,0.0
2020-07-01,398.38
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,96.28
2020-07-01,0.0
2020-07-01,872.3
2020-07-01,0.0
2020-07-01,960.0
2020-07-01,160.0
2020-07-01,262.07
2020-07-01,32.63
2020-07-01,28.36
2020-07-01,2.21
2020-07-01,519.35
2020-07-01,7.31
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,62.4
2020-07-01,24.55
2020-07-01,87.4
2020-07-01,128.0
2020-07-01,0.0
2020-07-01,824.82
2020-07-01,12.06
2020-07-01,3.03
2020-07-01,0.0
2020-07-01,18.0
2020-07-01,0.0
2020-07-01,182.26
2020-07-01,102.4
2020-07-01,979.56
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,340.8
2020-07-01,76.16
2020-07-01,240.0
2020-07-01,720.0
2020-07-01,470.12
2020-07-01,83.33
2020-07-01,386.38
2020-07-01,11.48
2020-07-01,21.72
2020-07-01,82.67
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,48.0
2020-07-01,0.0
2020-07-01,26.79
2020-07-01,82.62
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,30.09
2020-07-01,88.79
2020-07-01,88.0
2020-07-01,48.0
2020-07-01,523.1
2020-07-01,120.0
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,26.19
2020-07-01,0.0
2020-07-01,34.58
2020-07-01,816.64
2020-07-01,381.38
2020-07-01,318.24
2020-07-01,14.32
2020-07-01,740.31
2020-07-01,17.92
2020-07-01,278.62
2020-07-01,960.0
2020-07-01,70.24
2020-07-01,824.96
2020-07-01,84.86
2020-07-01,0.0
2020-07-01,93.78
2020-07-01,25.6
2020-07-01,251.81
2020-07-01,251.81
2020-07-01,251.81
2020-07-01,224.84
2020-07-01,224.84
2020-07-01,251.81
2020-07-01,251.81
2020-07-01,251.81
2020-07-01,224.84
2020-07-01,251.81
2020-07-01,251.81
2020-07-01,251.81
2020-07-01,224.84
2020-07-01,224.84
2020-07-01,-224.84
2020-07-01,-251.81
2020-07-01,-224.84
2020-07-01,-251.81
2020-07-01,-251.81
2020-07-01,-251.81
2020-07-01,-224.84
2020-07-01,-251.81
2020-07-01,-251.81
2020-07-01,-224.84
2020-07-01,-224.84
2020-07-01,-251.81
2020-07-01,-251.81
2020-07-01,-251.81
2020-07-01,689.66
2020-07-01,331.2
2020-07-01,192.0
2020-07-01,638.33
2020-07-01,55.36
2020-07-01,979.71
2020-07-01,320.0
2020-07-01,307.8
2020-07-01,100.35
2020-07-01,499.45
2020-07-01,61.45
2020-07-01,24.0
2020-07-01,400.0
2020-07-01,200.0
2020-07-01,249.6
2020-07-01,1051.2
2020-07-01,185.09
2020-07-01,947.28
2020-07-01,184.8
2020-07-01,105.2
2020-07-01,48.0
2020-07-01,0.0
2020-07-01,40.19
2020-07-01,20.1
2020-07-01,26.79
2020-07-01,17.66
2020-07-01,0.0
2020-07-01,200.0
2020-07-01,42.12
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,28.97
2020-07-01,0.0
2020-07-01,24.79
2020-07-01,4.97
2020-07-01,36.84
2020-07-01,23.45
2020-07-01,208.8
2020-07-01,275.2
2020-07-01,40.19
2020-07-01,73.21
2020-07-01,40.4
2020-07-01,316.8
2020-07-01,53.98
2020-07-01,199.46
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,794.11
2020-07-01,527.69
2020-07-01,192.0
2020-07-01,230.03
2020-07-01,1.48
2020-07-01,12.55
2020-07-01,42.24
2020-07-01,160.0
2020-07-01,17.46
2020-07-01,898.62
2020-07-01,945.82
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,207.36
2020-07-01,57.6
2020-07-01,127.52
2020-07-01,264.16
2020-07-01,1.05
2020-07-01,249.6
2020-07-01,55.03
2020-07-01,0.0
2020-07-01,952.01
2020-07-01,498.88
2020-07-01,627.2
2020-07-01,64.0
2020-07-01,1047.34
2020-07-01,0.0
2020-07-01,213.63
2020-07-01,86.35
2020-07-01,69.76
2020-07-01,240.0
2020-07-01,596.0
2020-07-01,0.0
2020-07-01,49.51
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,229.89
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,724.87
2020-07-01,759.66
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,105.6
2020-07-01,416.0
2020-07-01,0.0
2020-07-01,180.72
2020-07-01,13.47
2020-07-01,10.76
2020-07-01,544.83
2020-07-01,0.0
2020-07-01,40.4
2020-07-01,66.98
2020-07-01,50.06
2020-07-01,40.38
2020-07-01,26.09
2020-07-01,217.22
2020-07-01,564.54
2020-07-01,246.4
2020-07-01,16.56
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,47.08
2020-07-01,48.0
2020-07-01,48.0
2020-07-01,291.87
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,64.33
2020-07-01,32.0
2020-07-01,2.53
2020-07-01,560.0
2020-07-01,134.4
2020-07-01,37.44
2020-07-01,0.0
2020-07-01,128.83
2020-07-01,6.34
2020-07-01,205.44
2020-07-01,532.44
2020-07-01,121.54
2020-07-01,242.4
2020-07-01,194.58
2020-07-01,240.0
2020-07-01,27.84
2020-07-01,104.0
2020-07-01,45.77
2020-07-01,39.26
2020-07-01,288.0
2020-07-01,28.56
2020-07-01,646.2
2020-07-01,253.82
2020-07-01,86.4
2020-07-01,1021.19
2020-07-01,203.07
2020-07-01,971.69
2020-07-01,-194.58
2020-07-01,408.01
2020-07-01,32.0
2020-07-01,97.29
2020-07-01,-97.29
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,76.56
2020-07-01,2.94
2020-07-01,563.51
2020-07-01,0.0
2020-07-01,2.48
2020-07-01,0.0
2020-07-01,0.0
2020-07-01,0.0
2020-08-01,78.4
2020-08-01,69.6
2020-08-01,888.22
2020-08-01,888.32
2020-08-01,251.81
2020-08-01,-251.81
2020-08-01,200.0
2020-08-01,360.8
2020-08-01,48.32
2020-08-01,33.6
2020-08-01,960.0
2020-08-01,159.2
2020-08-01,0.0
2020-08-01,38.46
2020-08-01,82.52
2020-08-01,0.0
2020-08-01,143.79
2020-08-01,109.3
2020-08-01,100.8
2020-08-01,384.0
2020-08-01,511.63
2020-08-01,61.92
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,78.4
2020-08-01,69.6
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,165.38
2020-08-01,206.62
2020-08-01,59.07
2020-08-01,0.0
2020-08-01,40.4
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,230.27
2020-08-01,0.0
2020-08-01,560.32
2020-08-01,25.6
2020-08-01,10.56
2020-08-01,75.73
2020-08-01,353.03
2020-08-01,331.55
2020-08-01,16.17
2020-08-01,800.0
2020-08-01,80.0
2020-08-01,0.0
2020-08-01,25.75
2020-08-01,395.68
2020-08-01,853.6
2020-08-01,30.02
2020-08-01,1021.68
2020-08-01,400.0
2020-08-01,63.2
2020-08-01,329.32
2020-08-01,6.37
2020-08-01,43.2
2020-08-01,40.41
2020-08-01,140.8
2020-08-01,32.63
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,41.98
2020-08-01,29.12
2020-08-01,0.0
2020-08-01,6.9
2020-08-01,24.56
2020-08-01,605.95
2020-08-01,60.69
2020-08-01,8.4
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,45.32
2020-08-01,182.26
2020-08-01,947.28
2020-08-01,0.0
2020-08-01,713.89
2020-08-01,38.9
2020-08-01,68.88
2020-08-01,114.08
2020-08-01,0.0
2020-08-01,208.0
2020-08-01,0.0
2020-08-01,87.17
2020-08-01,25.57
2020-08-01,275.72
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,132.41
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,376.0
2020-08-01,3.16
2020-08-01,14.22
2020-08-01,46.8
2020-08-01,25.28
2020-08-01,259.57
2020-08-01,651.66
2020-08-01,55.03
2020-08-01,12.66
2020-08-01,46.4
2020-08-01,1018.71
2020-08-01,811.81
2020-08-01,156.8
2020-08-01,997.6
2020-08-01,270.08
2020-08-01,38.7
2020-08-01,885.6
2020-08-01,156.92
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,320.0
2020-08-01,689.66
2020-08-01,0.0
2020-08-01,26.94
2020-08-01,24.52
2020-08-01,39.22
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,446.08
2020-08-01,0.0
2020-08-01,41.38
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,560.52
2020-08-01,0.0
2020-08-01,266.07
2020-08-01,0.0
2020-08-01,3.37
2020-08-01,144.0
2020-08-01,17.44
2020-08-01,56.32
2020-08-01,0.0
2020-08-01,572.98
2020-08-01,127.61
2020-08-01,256.0
2020-08-01,114.4
2020-08-01,60.61
2020-08-01,40.19
2020-08-01,98.88
2020-08-01,3.95
2020-08-01,705.22
2020-08-01,560.52
2020-08-01,896.58
2020-08-01,0.0
2020-08-01,944.29
2020-08-01,20.22
2020-08-01,262.07
2020-08-01,0.0
2020-08-01,284.18
2020-08-01,17.22
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,35.56
2020-08-01,55.03
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,283.2
2020-08-01,94.28
2020-08-01,37.97
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,384.32
2020-08-01,0.0
2020-08-01,90.88
2020-08-01,40.4
2020-08-01,10.12
2020-08-01,280.0
2020-08-01,6.74
2020-08-01,192.79
2020-08-01,0.0
2020-08-01,790.4
2020-08-01,790.4
2020-08-01,111.44
2020-08-01,73.11
2020-08-01,5.91
2020-08-01,335.7
2020-08-01,520.0
2020-08-01,20.69
2020-08-01,1039.95
2020-08-01,24.55
2020-08-01,96.0
2020-08-01,22.14
2020-08-01,202.0
2020-08-01,115.33
2020-08-01,28.56
2020-08-01,128.48
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,244.62
2020-08-01,400.0
2020-08-01,50.55
2020-08-01,497.92
2020-08-01,0.0
2020-08-01,48.0
2020-08-01,67.34
2020-08-01,53.39
2020-08-01,22.29
2020-08-01,195.61
2020-08-01,41.92
2020-08-01,691.06
2020-08-01,18.08
2020-08-01,36.96
2020-08-01,0.0
2020-08-01,800.0
2020-08-01,636.31
2020-08-01,388.25
2020-08-01,107.33
2020-08-01,403.96
2020-08-01,0.0
2020-08-01,520.2
2020-08-01,0.0
2020-08-01,393.1
2020-08-01,316.8
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,0.0
2020-08-01,7.41
2020-09-01,78.4
2020-09-01,0.0
2020-09-01,770.76
2020-09-01,0.0
2020-09-01,0.0
2020-09-01,0.0
2020-09-01,79.38
2020-09-01,26.88
2020-09-01,88.8
2020-09-01,312.0
2020-09-01,208.0
2020-09-01,17.86
2020-09-01,107.14
2020-09-01,0.0
2020-09-01,8.05
2020-09-01,17.6
2020-09-01,896.0
2020-09-01,199.92
2020-09-01,345.6
2020-09-01,888.22
2020-09-01,888.32
2020-09-01,94.81
2020-09-01,0.0
2020-09-01,0.0
2020-09-01,0.0
2020-09-01,0.0
2020-09-01,746.24
2020-09-01,0.0
2020-09-01,13.24
2020-09-01,86.91
2020-09-01,403.2
2020-09-01,48.0
2020-09-01,204.0
2020-09-01,136.0
2020-09-01,0.0
2020-09-01,23.86
2020-09-01,0.0
2020-09-01,0.0
2020-09-01,0.0
2020-09-01,896.41
2020-09-01,-107.14
2020-09-01,-17.86
2020-09-01,28.73
2020-09-01,0.0
2020-09-01,274.06
2020-09-01,29.16
2020-09-01,7.31
2020-09-01,33.28
2020-09-01,95.04
2020-09-01,75.73
2020-09-01,353.37
2020-09-01,0.0
2020-09-01,517.44
2020-09-01,48.0
2020-09-01,0.0
2020-09-01,0.0
2020-09-01,422.06
2020-09-01,456.0
2020-09-01,58.62
2020-09-01,0.0
2020-09-01,34.48
2020-09-01,48.28
2020-09-01,165.52
2020-09-01,56.81
2020-09-01,63.17
2020-09-01,979.82
2020-09-01,0.0
2020-09-01,800.0
2020-09-01,616.8
2020-09-01,12.74
2020-09-01,2.43
2020-09-01,152.8
2020-09-01,13.3
2020-09-01,102.4
2020-09-01,0.0
2020-09-01,915.2
2020-09-01,53.12
2020-09-01,193.19
2020-09-01,62.4
2020-09-01,711.94
2020-09-01,265.42
2020-09-01,101.07
2020-09-01,572.41
2020-09-01,0.0
2020-09-01,76.8
2020-09-01,134.72
2020-09-01,26.94
2020-09-01,29.72
2020-09-01,432.0
